open_date,open_price,expiry_date,expiry_price,strike_price_call,delta_call,premium_call,option_loss_call,percentage_profit_loss_call,vault_total_profit_loss_call,vault_apy_call,strike_price_put,delta_put,premium_put,option_loss_put,percentage_profit_loss_put,vault_total_profit_loss_put,vault_apy_put,days_to_end_date
2020-01-03,6941.0,2020-01-17,8718.5,8000.0,0.0874288447269202,0.0039060668774630997,0.082410965188966,-0.0785048983115029,0.10377139965044657,0.050747748874024,5750.0,0.9048239113341738,50.4183565180457,0.0,0.007263846206316914,0.06202519718622512,0.030631257587310445,728
2020-01-17,8718.5,2020-01-31,9506.0,10500.0,0.10154246444472809,0.006314560054724901,0.0,0.006314560054724901,0.197804955911276,0.09665829648431856,7500.0,0.8852268244253774,68.50297823064966,0.0,0.007857197709542888,0.0543664415099947,0.027432728797655903,714
2020-01-31,9506.0,2020-02-14,10236.0,11250.0,0.09516997148854933,0.005215570415855723,0.0,0.005215570415855723,0.1902888057648069,0.09508365391407247,8250.0,0.912748477495289,43.46017250762452,0.0,0.004571867505535927,0.04614666036631898,0.023802362406139643,700
2020-02-14,10236.0,2020-02-28,8818.0,12500.0,0.09203702380429013,0.005778155937404183,0.0,0.005778155937404183,0.18411298113138796,0.09408304299891035,9000.0,0.8719520113629626,82.51624967550742,182.0,-0.009719006479532295,0.04138558345657972,0.021811021651257922,686
2020-02-28,8818.0,2020-03-13,4857.0,10500.0,0.10172807942905238,0.005983424651004403,0.0,0.005983424651004403,0.17731029863913794,0.09270958670651086,7500.0,0.9175694307930404,42.465638292277504,2643.0,-0.2949120392047769,0.05160615044668737,0.027707733993122208,672
2020-03-13,4857.0,2020-03-27,6760.5,8000.0,0.08723174824464441,0.01161467134297309,0.0,0.01161467134297309,0.17030784980137326,0.0911559962766948,4000.0,0.7772960410948289,237.4481057111807,0.0,0.04888781258208373,0.49145384536228387,0.2482550122675169,658
2020-03-27,6760.5,2020-04-10,7292.0,8500.0,0.1324554540186047,0.011643053373528415,0.0,0.011643053373528415,0.15687117135986783,0.08609559071424089,5000.0,0.9054831651729048,84.83887196170224,0.0,0.012549200793092559,0.42193838794896643,0.22081053279732754,644
2020-04-10,7292.0,2020-04-24,7487.0,10000.0,0.08595192872329166,0.0077841089127350565,0.0,0.0077841089127350565,0.14355667990013532,0.08081776433816956,5500.0,0.9158313881021296,68.6840205281427,0.0,0.009419092228214852,0.4043153526122123,0.21740719751318038,630
2020-04-24,7487.0,2020-05-08,10003.5,9250.0,0.09235361486980997,0.006111028863623624,0.0753236367271455,-0.06921260786352187,0.13472386574331074,0.07776535552929897,6000.0,0.9049471778443541,65.4028870603405,0.0,0.008735526520681249,0.391211404088162,0.21608822838580455,616
2020-05-08,10003.5,2020-05-22,9060.0,13000.0,0.12956880686772276,0.012591078556146178,0.0,0.012591078556146178,0.21910102707636314,0.1276307905920453,7750.0,0.895145319828735,123.44401909411408,0.0,0.012340082880403266,0.3791636831575782,0.21520845732556104,602
2020-05-22,9060.0,2020-06-05,9791.5,11250.0,0.10400364144777574,0.0075099189743472634,0.0,0.0075099189743472634,0.2039420975490711,0.12211092154155678,7000.0,0.9027354751698624,98.8040043546307,0.0,0.010905519244440475,0.36235214477871414,0.21160178399206453,588
2020-06-05,9791.5,2020-06-19,9377.0,12250.0,0.1011171718863772,0.007404815217910992,0.0,0.007404815217910992,0.19496798480623845,0.11992763837360587,8250.0,0.8922947430672865,79.40677606310851,0.0,0.008109766232253334,0.34765526435838146,0.20892031796759092,574
2020-06-19,9377.0,2020-07-03,9089.0,11250.0,0.1038647449876291,0.006423668356497108,0.0,0.006423668356497108,0.18618450771227968,0.11771576270514217,7750.0,0.9039068515235685,70.22659346848332,0.0,0.007489238932332656,0.3368140151991177,0.20829024789702966,560
2020-07-03,9089.0,2020-07-17,9130.5,10250.0,0.09160815118105231,0.0035975668458085946,0.0,0.0035975668458085946,0.1786134855605428,0.11612196275418163,8000.0,0.8897590372424984,55.30263963715561,0.0,0.006084568119392189,0.3268767184211121,0.20812539600470914,546
2020-07-17,9130.5,2020-07-31,11114.0,10500.0,0.09760807667516214,0.00457337738360043,0.055245636134605,-0.05067225875100457,0.1743885442695816,0.11659890563765662,7500.0,0.922669143512605,49.16393858887079,0.0,0.0053845833841378666,0.31885207314267294,0.20910873871455204,532
2020-07-31,11114.0,2020-08-14,11798.0,13500.0,0.09877390724934854,0.006294992509908715,0.0,0.006294992509908715,0.237073871584625,0.16172953800453582,9750.0,0.8898355539985147,69.47377715842754,0.0,0.006251014680441563,0.3117886378398602,0.21073972713564526,518
2020-08-14,11798.0,2020-08-28,11333.0,14000.0,0.10278062759418183,0.005972981553293395,0.0,0.005972981553293395,0.22933521561019132,0.16128767548118006,10000.0,0.8945052309117933,88.58975605662226,0.0,0.0075088791368555915,0.30363956776376444,0.211707558529735,504
2020-08-28,11333.0,2020-09-11,10340.5,12750.0,0.10926134826893558,0.004679354908395259,0.0,0.004679354908395259,0.22203601702305287,0.16109752248745512,9750.0,0.8919964021248705,79.79568290511156,0.0,0.007041002638763925,0.29392365145268706,0.2116035189145622,490
2020-09-11,10340.5,2020-09-25,10744.5,12500.0,0.09751290790974992,0.006032009501169285,0.0,0.006032009501169285,0.21634431030433188,0.16204224697047964,8500.0,0.8970222978416951,90.31957864237461,0.0,0.008734546554071332,0.28487683030005817,0.21192495521708765,476
2020-09-25,10744.5,2020-10-09,10930.5,12250.0,0.08924045797999491,0.0037450867865301586,0.0,0.0037450867865301586,0.20905130136708472,0.1618094504637959,9250.0,0.9100917280966991,54.8712149242931,0.0,0.005106911901372153,0.27375119122202496,0.21065774754976285,462
2020-10-09,10930.5,2020-10-23,12988.0,12250.0,0.10105338218113746,0.003999048900016541,0.05682168155220203,-0.052822632652185494,0.2045401938034268,0.1637178823300689,9750.0,0.899145482567173,50.51365289850742,0.0,0.004621348785371887,0.26727930744447415,0.21286762876607246,448
2020-10-23,12988.0,2020-11-06,15608.0,15250.0,0.11248613830931431,0.006516266524327577,0.02293695540748334,-0.016420688883155763,0.27171555753728827,0.22403382685639683,11250.0,0.9027841950708995,72.32783329086737,0.0,0.005568819933081874,0.2614497083669054,0.2157184694425751,434
2020-11-06,15608.0,2020-11-20,17824.5,18750.0,0.09770042604789686,0.005870298302586031,0.0,0.005870298302586031,0.2929466319226133,0.25016936958599434,13500.0,0.9000259483721671,92.20813996679726,0.0,0.005907748588339138,0.25446382521173594,0.217768718804205,420
2020-11-20,17824.5,2020-12-04,19444.5,22500.0,0.10777019296454471,0.008470585709079229,0.0,0.008470585709079229,0.2854009449374053,0.2532200260409794,14000.0,0.9000009423159339,188.76222318387113,0.0,0.010590043097078242,0.2470962938422665,0.21959463988173855,406
2020-12-04,19444.5,2020-12-18,22808.5,23500.0,0.13788068074032173,0.010568928336749031,0.0,0.010568928336749031,0.27460429996935387,0.2534799199896647,16000.0,0.9020904262064521,154.43819910848515,0.0,0.007942513261255633,0.23402788535337793,0.21628326996832947,392
2020-12-18,22808.5,2021-01-01,28965.0,30000.0,0.1037334519245236,0.009183574678315536,0.0,0.009183574678315536,0.2612739856025157,0.25124526500624444,18500.0,0.893341865898204,229.1099184018767,0.0,0.010044935809100848,0.22430383590092817,0.21581239155976917,378
2021-01-01,28965.0,2021-01-15,39122.0,40000.0,0.08925417282823628,0.008392587882956376,0.0,0.008392587882956376,0.24979638714844832,0.25056222721168964,22000.0,0.9000748556300535,358.6350978370456,0.0,0.012381670907545161,0.2121280870738631,0.2127688779548491,364
2021-01-15,39122.0,2021-01-29,33443.0,72000.0,0.14654314644137229,0.029418999791175796,0.0,0.029418999791175796,0.2393946585548603,0.2508473653297103,27000.0,0.9091422032135292,595.2765112860329,0.0,0.015215901827259163,0.19730346953758704,0.20657924725393406,350
2021-01-29,33443.0,2021-02-12,48029.0,48000.0,0.10862311743700187,0.012437403383440066,0.0006038018697037207,0.011833601513736344,0.2039749206166579,0.22341976744758596,24000.0,0.9197703833557334,353.6349139603699,0.0,0.010574258109630412,0.17935846688629797,0.1962709228881423,336
2021-02-12,48029.0,2021-02-26,47086.0,72000.0,0.06215000901484737,0.006001177733721841,0.0,0.006001177733721841,0.18989418696460736,0.21784426440169957,40000.0,0.8057066017281218,1447.0754965645865,0.0,0.03012920311821163,0.16701811610795847,0.19133846794946052,322
2021-02-26,47086.0,2021-03-12,57812.0,62000.0,0.1082361209095124,0.009847057989781383,0.0,0.009847057989781383,0.1827960178388175,0.22012102538299727,36000.0,0.8908493583850209,666.3839449784273,0.0,0.014152485770259255,0.13288518816414707,0.15934797690475633,308
2021-03-12,57812.0,2021-03-26,51303.0,76000.0,0.12005911916528167,0.011545017662695995,0.0,0.011545017662695995,0.17126252780625162,0.21684151120464978,46000.0,0.8834940293186706,759.3935275530484,0.0,0.01313556921665136,0.11707578895663695,0.14734607163551194,294
2021-03-26,51303.0,2021-04-09,58092.0,64000.0,0.0923879625147544,0.006363287321080904,0.0,0.006363287321080904,0.15789461403566962,0.2105901427943493,40000.0,0.8929063611331804,638.2806053177592,0.0,0.012441389496087153,0.10259260744379128,0.13577180062938332,280
2021-04-09,58092.0,2021-04-23,51691.0,70000.0,0.10328305518129888,0.006503424363458438,0.0,0.006503424363458438,0.1505731862675177,0.21223087548780306,50000.0,0.8706364078841413,567.53976101018,0.0,0.00976967157285306,0.08904339439597053,0.12417177957411418,266
2021-04-23,51691.0,2021-05-07,56426.0,66000.0,0.10040770915850594,0.007904727404394268,0.0,0.007904727404394268,0.14313886909542672,0.21381169522804688,40000.0,0.9037024338152582,549.7193439890771,0.0,0.010634720628137917,0.07850673777876205,0.11568360465800098,252
2021-05-07,56426.0,2021-05-21,40594.0,68000.0,0.10791774334262227,0.006977348735869954,0.0,0.006977348735869954,0.13417353646042884,0.2129900301185046,46000.0,0.8985212228706576,503.74176542742134,5406.0,-0.08687942144707367,0.06715781257588316,0.10482078076180201,238
2021-05-21,40594.0,2021-06-04,39249.0,55000.0,0.09627123154767347,0.008936792912523809,0.0,0.008936792912523809,0.12631484500047363,0.21388574804532623,30000.0,0.8881492482090287,700.588521808023,0.0,0.017258425427600702,0.16869320179714697,0.2891859858812422,224
2021-06-04,39249.0,2021-06-18,38089.0,55000.0,0.06489686476888917,0.005458101314257645,0.0,0.005458101314257645,0.11633836025457156,0.21080369224061912,30000.0,0.9069253667328898,415.7764241162613,0.0,0.010593299806778804,0.14886559067416072,0.27278089614612777,210
2021-06-18,38089.0,2021-07-02,33507.0,48000.0,0.1066241890068591,0.00827676517650538,0.0,0.00827676517650538,0.1102783485412071,0.21508111073047598,30000.0,0.9053956227107955,360.48552208437195,0.0,0.009464294732977288,0.13682288502587459,0.26973662529490205,196
2021-07-02,33507.0,2021-07-16,31877.0,42000.0,0.09988076330219187,0.007318236740392594,0.0,0.007318236740392594,0.10116427045390264,0.2132049661662836,26000.0,0.8990777958595013,382.6888857451954,0.0,0.01142116231668593,0.12616453197741495,0.26907479078389906,182
2021-07-16,31877.0,2021-07-30,40046.0,40000.0,0.07772564641467974,0.0050107870151183415,0.0011486790191280029,0.003862107995990339,0.0931642357803315,0.2135248359128148,26000.0,0.8940284348815898,306.6495181215346,0.0,0.009619773445479016,0.11344766545907214,0.26297779781007025,168
2021-07-30,40046.0,2021-08-13,44417.0,50000.0,0.1108965731373992,0.008498624354074636,0.0,0.008498624354074636,0.08895856021761306,0.223831743842545,32000.0,0.9002160294360754,386.9725683910824,0.0,0.009663201528019838,0.10283860790410682,0.261127132732377,154
2021-08-13,44417.0,2021-08-27,46847.0,55000.0,0.12796084953709852,0.010364786353167125,0.0,0.010364786353167125,0.07978189946969083,0.22155162717228571,35000.0,0.9015924797587014,449.75940444197204,0.0,0.01012583930571565,0.09228365086008483,0.2587687451248659,140
2021-08-27,46847.0,2021-09-10,46392.0,58000.0,0.11275447184567905,0.008435694826876833,0.0,0.008435694826876833,0.0687050004653067,0.2122609845261818,38000.0,0.8959852181769024,449.58906050126643,0.0,0.009596965878311662,0.081334234169119,0.2542267329823209,126
